ENTSTATION,EXTSTATION,Fare
Southern Avenue,L'Enfant Plaza,2.7
Southern Avenue,Navy Yard-Ballpark,2.35
Southern Avenue,Clarendon,4.05
Southern Avenue,Greenbelt,5.9
Southern Avenue,NoMa-Gallaudet U,3.3
Southern Avenue,McLean,6.0
Southern Avenue,Woodley Park-Zoo/Adams Morgan,3.8
Southern Avenue,Shaw-Howard U,3.3
Southern Avenue,Federal Triangle,3.0
Southern Avenue,Tysons Corner,6.0
Southern Avenue,Federal Center SW,2.75
Southern Avenue,New Carrollton,5.0
Southern Avenue,Friendship Heights,4.65
Southern Avenue,Huntington,4.45
Southern Avenue,King St-Old Town,4.1
Southern Avenue,Crystal City,3.35
Southern Avenue,White Flint,6.0
Southern Avenue,Takoma,4.7
Southern Avenue,Smithsonian,2.85
Southern Avenue,Bethesda,5.15
Southern Avenue,Shady Grove,6.0
Southern Avenue,Prince George's Plaza,4.75
Southern Avenue,Dunn Loring-Merrifield,6.0
Southern Avenue,Judiciary Square,3.0
Southern Avenue,Stadium-Armory,3.05
Southern Avenue,Gallery Pl-Chinatown,3.0
Southern Avenue,Brookland-CUA,3.8
Southern Avenue,Eastern Market,2.85
Southern Avenue,Van Ness-UDC,4.15
Southern Avenue,Capitol Heights,3.9
Southern Avenue,Rockville,6.0
Southern Avenue,Greensboro,6.0
Southern Avenue,Rhode Island Ave-Brentwood,3.55
Southern Avenue,Fort Totten,4.15
Southern Avenue,West Falls Church-VT/UVA,5.55
Southern Avenue,Columbia Heights,3.65
Southern Avenue,Suitland,2.25
Southern Avenue,Eisenhower Avenue,4.3
Southern Avenue,Foggy Bottom-GWU,3.4
Southern Avenue,Ballston-MU,4.3
Southern Avenue,Pentagon City,3.3
Southern Avenue,Metro Center,3.05
Southern Avenue,Morgan Boulevard,4.55
Southern Avenue,Wheaton,6.0
Southern Avenue,Virginia Square-GMU,4.15
Southern Avenue,Addison Road-Seat Pleasant,4.1
Southern Avenue,Tenleytown-AU,4.45
Southern Avenue,Deanwood,3.8
Southern Avenue,Medical Center,5.45
Southern Avenue,Georgia Ave-Petworth,3.85
Southern Avenue,Dupont Circle,3.45
Southern Avenue,McPherson Square,3.2
Southern Avenue,Landover,4.6
Southern Avenue,Spring Hill,6.0
Southern Avenue,Ronald Reagan Washington National Airport,3.35
Southern Avenue,Benning Road,3.55
Southern Avenue,Farragut West,3.3
Southern Avenue,Twinbrook,6.0
Southern Avenue,Wiehle-Reston East,6.0
Southern Avenue,Cheverly,4.1
West Hyattsville,Silver Spring,2.85
West Hyattsville,Rosslyn,3.9
West Hyattsville,Farragut North,3.4
West Hyattsville,Southern Avenue,4.45
West Hyattsville,Congress Heights,4.3
West Hyattsville,Archives-Navy Memorial-Penn Quarter,3.3
West Hyattsville,Waterfront,3.6
West Hyattsville,Grosvenor-Strathmore,5.35
West Hyattsville,Minnesota Ave,3.9
West Hyattsville,Braddock Road,5.2
West Hyattsville,East Falls Church,5.25
West Hyattsville,Capitol South,3.5
West Hyattsville,Naylor Road,4.55
West Hyattsville,Van Dorn Street,6.0
West Hyattsville,Cleveland Park,3.7
West Hyattsville,Court House,4.2
West Hyattsville,Arlington Cemetery,4.05
West Hyattsville,Mt Vernon Sq 7th St-Convention Center,3.0
West Hyattsville,Pentagon,4.05
West Hyattsville,Branch Ave,5.3
West Hyattsville,Potomac Ave,3.65
West Hyattsville,Union Station,2.95
West Hyattsville,College Park-U of Md,2.25
West Hyattsville,Forest Glen,3.35
West Hyattsville,Anacostia,3.95
West Hyattsville,Vienna/Fairfax-GMU,6.0
West Hyattsville,Largo Town Center,5.25
West Hyattsville,U Street/African-Amer Civil War Memorial/Cardozo,2.8
West Hyattsville,Glenmont,4.25
West Hyattsville,Franconia-Springfield,6.0
West Hyattsville,L'Enfant Plaza,3.45
West Hyattsville,Navy Yard-Ballpark,3.65
West Hyattsville,Clarendon,4.35
West Hyattsville,Greenbelt,3.0
West Hyattsville,NoMa-Gallaudet U,2.75
West Hyattsville,McLean,6.0
West Hyattsville,Woodley Park-Zoo/Adams Morgan,3.6
West Hyattsville,Shaw-Howard U,2.9
West Hyattsville,Federal Triangle,3.35
West Hyattsville,Tysons Corner,6.0
West Hyattsville,Federal Center SW,3.45
West Hyattsville,New Carrollton,4.85
West Hyattsville,Friendship Heights,4.25
West Hyattsville,Huntington,5.75
West Hyattsville,King St-Old Town,5.4
West Hyattsville,Crystal City,4.3
West Hyattsville,White Flint,5.7
West Hyattsville,Takoma,2.4
West Hyattsville,Smithsonian,3.45
West Hyattsville,Bethesda,4.6
West Hyattsville,Shady Grove,6.0
West Hyattsville,Prince George's Plaza,2.25
West Hyattsville,Dunn Loring-Merrifield,6.0
West Hyattsville,Judiciary Square,3.15
West Hyattsville,Stadium-Armory,3.7
West Hyattsville,Gallery Pl-Chinatown,3.2
West Hyattsville,Brookland-CUA,2.25
West Hyattsville,Eastern Market,3.55
West Hyattsville,Van Ness-UDC,3.8
West Hyattsville,Capitol Heights,4.4
West Hyattsville,Rockville,6.0
West Hyattsville,Greensboro,6.0
West Hyattsville,Rhode Island Ave-Brentwood,2.4
West Hyattsville,Fort Totten,2.25
West Hyattsville,West Falls Church-VT/UVA,5.75
West Hyattsville,Columbia Heights,2.65
West Hyattsville,Suitland,4.85
West Hyattsville,Eisenhower Avenue,5.6
West Hyattsville,Foggy Bottom-GWU,3.55
West Hyattsville,Ballston-MU,4.65
West Hyattsville,Pentagon City,4.2
West Hyattsville,Metro Center,3.25
West Hyattsville,Morgan Boulevard,4.95
West Hyattsville,Wheaton,3.75
West Hyattsville,Virginia Square-GMU,4.5
West Hyattsville,Addison Road-Seat Pleasant,4.65
West Hyattsville,Tenleytown-AU,4.1
West Hyattsville,Deanwood,4.0
West Hyattsville,Medical Center,4.85
West Hyattsville,Georgia Ave-Petworth,2.35
West Hyattsville,Dupont Circle,3.45
West Hyattsville,McPherson Square,3.35
West Hyattsville,Landover,4.5
West Hyattsville,Spring Hill,6.0
West Hyattsville,Ronald Reagan Washington National Airport,4.4
West Hyattsville,Benning Road,4.05
West Hyattsville,Farragut West,3.4
West Hyattsville,Twinbrook,6.0
West Hyattsville,Wiehle-Reston East,6.0
West Hyattsville,Cheverly,4.2
